DateTime,ACMV.L1.AHU.ARU.1.RAT,ACMV.L1.AHU.ARU.1.RAT_SETPOINT,ACMV.L1.AHU.ARU.1.SAT,ACMV.L1.AHU.ARU.1.VALVE_CMD,ACMV.L1.AHU.ARU.1.VALVE_POS
10/2/2020 02:30:00,25.51589,23,25.51589,0,29.530972
10/2/2020 02:40:00,25.54093,23,25.51589,0,29.334116
10/2/2020 02:50:00,25.54093,23,25.465729,0,29.530972
10/2/2020 03:00:00,25.51589,23,25.49082,0,29.432547
10/2/2020 03:10:00,25.51589,23,25.465729,0,29.530972
10/2/2020 03:20:00,25.49082,23,25.440617,0,29.432547
10/2/2020 03:30:00,25.49082,23,25.440617,0,29.530972
10/2/2020 03:40:00,25.49082,23,25.440617,0,29.432547
10/2/2020 03:50:00,25.51589,23,25.465729,0,29.334116
10/2/2020 04:00:00,25.54093,23,25.49082,0,29.530972
10/2/2020 04:10:00,25.54093,23,25.465729,0,29.62941
10/2/2020 04:20:00,25.51589,23,25.49082,0,29.530972
10/2/2020 04:30:00,25.590939,23,25.565943,0,29.530972
10/2/2020 04:40:00,25.615904,23,25.565943,0,29.530972
10/2/2020 04:50:00,25.565943,23,25.590939,0,29.432547
10/2/2020 05:00:00,25.615904,23,25.590939,0,29.334116
10/2/2020 05:10:00,25.590939,23,25.590939,0,29.62941
10/2/2020 05:20:00,25.590939,23,25.590939,0,29.530972
10/2/2020 05:30:00,25.590939,23,25.565943,0,29.530972
10/2/2020 05:40:00,25.590939,23,25.51589,0,29.62941
10/2/2020 05:50:00,25.565943,23,25.565943,0,29.432547
10/2/2020 06:00:00,25.54093,23,25.51589,0,29.432547
10/2/2020 06:10:00,25.51589,23,25.54093,0,29.530972
10/2/2020 06:20:00,25.51589,23,25.54093,0,29.334116
10/2/2020 06:30:00,25.51589,23,25.51589,0,29.432547
10/2/2020 06:40:00,25.49082,23,25.49082,0,29.334116
10/2/2020 06:50:00,25.51589,23,25.49082,0,29.530972
10/2/2020 07:00:00,25.54093,23,25.49082,0,29.530972
10/2/2020 07:10:00,25.565943,23,25.54093,0,29.334116
10/2/2020 07:20:00,25.54093,23,25.51589,0,29.530972
10/2/2020 07:30:00,25.54093,23,25.49082,0,29.432547
10/2/2020 07:40:00,24.709721,23,15.703462,100,100
10/2/2020 07:50:00,23.37125,23,14.355088,100,100
10/2/2020 08:00:00,22.74173,23,13.775903,100,100
10/2/2020 08:10:00,22.592157,23,13.875178,100,100
10/2/2020 08:20:00,22.3407,23,13.474882,100,100
10/2/2020 08:30:00,22.137573,23,15.430223,100,100
10/2/2020 08:40:00,22.188526,23,14.455779,56.940659,56.009014
